mapping_id,partition,methods,path,route_name,capability_owner,runtime_owner,external_effects,call_count,structured_route_count,normalized_access_count,ambiguous_access_count,first_called_at,last_called_at,ui_referenced,retired_or_blocked_marker,recommended_tier,recommendation_basis,traffic_match_quality,candidate_v2_operation_id,candidate_v2_method,candidate_v2_path,human_signoff,data_window_start,data_window_end
LEGACY-API-0341,S04,OPTIONS,/api/admin/hxc-dashboard/broadcast,hxc_dashboard_broadcast_options,hxc_dashboard,ai_crm_next,none,0,0,0,0,,,false,false,B,zero_observed_traffic_and_no_ui_reference,no_observed_match,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0342,S04,POST,/api/admin/hxc-dashboard/broadcast,plan_hxc_dashboard_broadcast,hxc_dashboard,ai_crm_next,none,0,0,0,0,,,false,false,B,zero_observed_traffic_and_no_ui_reference,no_observed_match,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0343,S04,POST,/api/admin/hxc-dashboard/broadcast-tasks,create_hxc_broadcast_task,hxc_dashboard,ai_crm_next,none,0,0,0,0,,,true,false,A,ui_referenced_with_zero_observed_traffic,no_observed_match,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0344,S04,OPTIONS,/api/admin/hxc-dashboard/refresh,hxc_dashboard_refresh_options,hxc_dashboard,ai_crm_next,none,0,0,0,0,,,true,false,A,ui_referenced_with_zero_observed_traffic,no_observed_match,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0345,S04,POST,/api/admin/hxc-dashboard/refresh,plan_hxc_dashboard_refresh,hxc_dashboard,ai_crm_next,none,0,0,0,0,,,true,false,A,ui_referenced_with_zero_observed_traffic,no_observed_match,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0346,S04,OPTIONS,/api/admin/hxc-dashboard/refresh-directory,hxc_dashboard_refresh_directory_options,hxc_dashboard,ai_crm_next,none,0,0,0,0,,,true,false,A,ui_referenced_with_zero_observed_traffic,no_observed_match,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0347,S04,POST,/api/admin/hxc-dashboard/refresh-directory,plan_hxc_dashboard_refresh_directory,hxc_dashboard,ai_crm_next,none,0,0,0,0,,,true,false,A,ui_referenced_with_zero_observed_traffic,no_observed_match,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0348,S04,GET,/api/admin/hxc-dashboard/send-config,get_hxc_send_config,hxc_dashboard,ai_crm_next,none,0,0,0,0,,,true,false,A,ui_referenced_with_zero_observed_traffic,no_observed_match,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0349,S04,OPTIONS,/api/admin/hxc-dashboard/send-config,hxc_send_config_options,hxc_dashboard,ai_crm_next,none,0,0,0,0,,,true,false,A,ui_referenced_with_zero_observed_traffic,no_observed_match,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0350,S04,POST,/api/admin/hxc-dashboard/send-config,upsert_hxc_send_config,hxc_dashboard,ai_crm_next,none,0,0,0,0,,,true,false,A,ui_referenced_with_zero_observed_traffic,no_observed_match,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0351,S04,DELETE,/api/admin/hxc-dashboard/send-config/{sender_userid},delete_hxc_send_config,hxc_dashboard,ai_crm_next,none,0,0,0,0,,,true,false,A,ui_referenced_with_zero_observed_traffic,no_observed_match,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
